count,pos,description,pos_type,word
1,,,"nnp","Adler"
1,,,"nn","nouri"
1,,,"nn","obin"
1,,,"nn","TOUDWA"
5,,,"nn","html"
1,,,"nn","jaune"
3,,,"nnp","ERNST"
1,,,"nn","rca"
1,,,"nn","FERNAND"
18,,,"nns","sheets"
2,,,"nn","Rivelino"
4,,,"nn","torbeck"
1,,,"nn","BELHACHEMI"
1,,,"nn","northeasttill"
9,,,"nnps","States"
1,,,"nn","chasm"
31,,,"nn","•"
1,,,"nn","òganizasyo"
4,,,"nnp","Roads"
47,,,"nn","orphanage"
9,,,"nn","company"
13,,,"nn","translator"
2,,,"nns","Noailles"
1,,,"nn","NakedDiary"
1,,,"nns","chisels"
2,,,"nn","tue"
1,,,"nn","STARVIN"
10,,,"nns","nurses"
6,,,"nn","fl"
1,,,"nn","nito"
1,,,"nn","TROUVENT"
1,,,"nn","Ronny"
1,,,"nn","ESPWA"
1,,,"nn","Leyogn"
1,,,"nn","sakaf"
1,,,"nn","Ner*t"
1,,,"nns","tastes"
3,,,"nnp","Jeff"
1,,,"nn","Arnesse"
2,,,"nnp","Giovanni"
11,,,"nn","lman"
2,,,"nns","departements"
2,,,"nn","Myrtil"
1,,,"nn","lokadi"
1,,,"nn","Yntsz"
2,,,"nn","crowd"
1,,,"nn","lonje"
1,,,"nns","provins"
3,,,"nn","Jean-Rabel"
1,,,"nn","Etiene"
1,,,"nn","directrice"
2,,,"nn","X"
3,,,"nn","jen"
1,,,"nn","orl"
6,,,"nn","malgre"
1,,,"nns","Fort-Jacques"
2,,,"nn","ekrim"
1,,,"nn","jewova"
1,,,"nn","kounie"
1,,,"nn","zaire"
6,,,"nn","Andr"
1,,,"nns","patterns"
1,,,"nn","Fle"
1,,,"nn","cane"
2,,,"nn","EmergencyMwen"
3,,,"nn","Laine"
4,,,"nn","SOMMES"
14,,,"nn","avni"
1,,,"nn","maguana"
1,,,"nn","Jeanite"
1,,,"nn","chci"
1,,,"nn","VIRON"
67,,,"nn","anyone"
1,,,"nn","ULCC"
1,,,"nn","height"
5,,,"nnp","Henri"
8,,,"nn","konpreyansyon"
30,,,"nn","relief"
5,,,"nn","akra"
1,,,"nn","Caring&amp"
1,,,"nn","Lojisyil"
1,,,"nn","voiture"
1,,,"nn","eternel"
16,,,"nn","KAFOU"
1,,,"nn","widmark"
1,,,"nn","résidant"
1,,,"nn","Betem"
12,,,"nn","zonn"
1,,,"nnps","Resources"
3,,,"nn","MEDECINS"
1,,,"nn","Denosia"
1,,,"nn","PLE"
2,,,"nn","Mandine"
10,,,"nn","ayiti"
2,,,"nn","nway"
2,,,"nn","SABINE"
3,,,"nn","panamericaine"
1,,,"nn","terre-rouge"
2,,,"nn","race"
9,,,"nn","prezan"
1,,,"nn","minewo"
1,,,"nn","martine"
2,,,"nn","stomach"
3,,,"nn","latin_america_caribbean"
1,,,"nn","color"
6,,,"nnp","Desir"
